id|context|template|scrambledWords|correctSentence|distractor|difficulty
q-1|What did the professor say about the upcoming mid-term evaluation?|He mentioned that _____ _____ _____ _____ _____ _____ _____ criteria.|["students","should","focus","on","the","new","grading"]|He mentioned that students should focus on the new grading criteria.|study|University
q-2|Why did you choose this internship program?|I was attracted to _____ _____ _____ _____ _____ _____ _____ experience.|["the","opportunity","to","gain","practical","hands-on","work"]|I was attracted to the opportunity to gain practical hands-on experience.|learning|University
q-3|How can we improve campus sustainability?|We should implement _____ _____ _____ _____ _____ _____ _____ waste.|["a","comprehensive","recycling","program","to","reduce","plastic"]|We should implement a comprehensive recycling program to reduce plastic waste.|trash|University
q-4|What is the main argument of the author?|The author argues that _____ _____ _____ _____ _____ _____ _____ society.|["technology","has","a","profound","impact","on","modern"]|The author argues that technology has a profound impact on modern society.|internet|University
q-5|Did you finish the research paper?|I have completed the _____ _____ _____ _____ _____ _____ _____ sources.|["draft","but","I","still","need","to","cite"]|I have completed the draft but I still need to cite sources.|write|University
q-6|What are the benefits of studying abroad?|It allows students to _____ _____ _____ _____ _____ _____ _____ perspectives.|["immerse","themselves","in","new","cultures","and","gain"]|It allows students to immerse themselves in new cultures and gain perspectives.|travel|University
q-7|Why is critical thinking important?|It enables individuals to _____ _____ _____ _____ _____ _____ _____ effectively.|["analyze","complex","information","and","make","informed","decisions"]|It enables individuals to analyze complex information and make informed decisions effectively.|think|University
q-8|What is the role of the student council?|The council serves as _____ _____ _____ _____ _____ _____ _____ administration.|["a","bridge","between","the","student","body","and"]|The council serves as a bridge between the student body and administration.|link|University
q-9|How does climate change affect the economy?|Extreme weather events can _____ _____ _____ _____ _____ _____ _____ infrastructure.|["disrupt","supply","chains","and","cause","damage","to"]|Extreme weather events can disrupt supply chains and cause damage to infrastructure.|destroy|University
q-10|What did the lecturer emphasize about history?|Understanding the past is _____ _____ _____ _____ _____ _____ _____ present.|["essential","for","comprehending","the","complexities","of","the"]|Understanding the past is essential for comprehending the complexities of the present.|knowing|University
q-11|Why are extracurricular activities encouraged?|They help students develop _____ _____ _____ _____ _____ _____ _____ skills.|["leadership","abilities","and","essential","interpersonal","communication","soft"]|They help students develop leadership abilities and essential interpersonal communication soft skills.|social|University
q-12|What is the significance of the experiment results?|The findings suggest that _____ _____ _____ _____ _____ _____ _____ variable.|["there","is","a","significant","correlation","with","the"]|The findings suggest that there is a significant correlation with the variable.|relationship|University
q-13|How should we approach the group project?|We need to delegate _____ _____ _____ _____ _____ _____ _____ strengths.|["tasks","according","to","each","member's","individual","unique"]|We need to delegate tasks according to each member's individual unique strengths.|work|University
q-14|What is the impact of social media on communication?|It has revolutionized how _____ _____ _____ _____ _____ _____ _____ world.|["we","connect","and","share","information","across","the"]|It has revolutionized how we connect and share information across the world.|internet|University
q-15|Why is biodiversity important for the ecosystem?|A diverse ecosystem is _____ _____ _____ _____ _____ _____ _____ changes.|["more","resilient","and","better","able","to","adapt"]|A diverse ecosystem is more resilient and better able to adapt changes.|strong|University
q-16|What did the advisor suggest for your career path?|She recommended that I _____ _____ _____ _____ _____ _____ _____ field.|["pursue","further","education","in","my","chosen","specialized"]|She recommended that I pursue further education in my chosen specialized field.|study|University
q-17|How does the university support mental health?|The university provides counseling _____ _____ _____ _____ _____ _____ _____ well-being.|["services","to","help","students","maintain","their","mental"]|The university provides counseling services to help students maintain their mental well-being.|health|University
q-18|What is the purpose of the new policy?|The policy aims to _____ _____ _____ _____ _____ _____ _____ campus.|["promote","diversity","and","inclusion","across","the","entire"]|The policy aims to promote diversity and inclusion across the entire campus.|equality|University
q-19|Why is time management crucial for college students?|Effective time management allows _____ _____ _____ _____ _____ _____ _____ academics.|["students","to","balance","their","social","life","and"]|Effective time management allows students to balance their social life and academics.|study|University
q-20|What was the conclusion of the debate?|Both sides agreed that _____ _____ _____ _____ _____ _____ _____ issue.|["further","research","is","needed","to","resolve","the"]|Both sides agreed that further research is needed to resolve the issue.|discussion|University
ms-1|What is your favorite subject?|My favorite subject is _____ _____ _____ _____ _____ interesting.|["math","because","it","is","science"]|My favorite subject is math because it is interesting.|science|Middle School
ms-2|What time do you wake up?|I usually wake up _____ _____ _____ _____ _____ morning.|["at","seven","in","the","eight"]|I usually wake up at seven in the morning.|eight|Middle School
ms-3|Where do you live?|I live in a _____ _____ _____ _____ _____ park.|["small","house","near","the","big"]|I live in a small house near the park.|big|Middle School
ms-4|What did you eat for lunch?|I ate a sandwich _____ _____ _____ _____ _____ lunch.|["and","an","apple","for","orange"]|I ate a sandwich and an apple for lunch.|orange|Middle School
ms-5|Do you have any pets?|Yes I have a _____ _____ _____ _____ _____ run.|["dog","named","Max","who","loves","to","cat"]|Yes I have a dog named Max who loves to run.|cat|Middle School
ms-6|What are you doing now?|I am studying English _____ _____ _____ _____ _____ tomorrow.|["for","my","big","test","exam"]|I am studying English for my big test tomorrow.|exam|Middle School
ms-7|How do you go to school?|I go to school _____ _____ _____ _____ _____ day.|["by","bus","every","single","train"]|I go to school by bus every single day.|train|Middle School
ms-8|What is your mother's job?|My mother works as _____ _____ _____ _____ _____ hospital.|["a","nurse","at","the","doctor"]|My mother works as a nurse at the hospital.|doctor|Middle School
ms-9|What is your hobby?|My hobby is reading _____ _____ _____ _____ _____ time.|["books","in","my","free","spare"]|My hobby is reading books in my free time.|spare|Middle School
ms-10|Can you swim?|Yes I can swim _____ _____ _____ _____ _____ pool.|["very","well","in","the","fast"]|Yes I can swim very well in the pool.|fast|Middle School
hs-1|Why were you late?|I was late because _____ _____ _____ _____ _____ bus.|["I","missed","the","first","second"]|I was late because I missed the first bus.|second|High School
hs-2|What do you want to be?|I want to become _____ _____ _____ _____ _____ people.|["a","doctor","to","help","sick","poor"]|I want to become a doctor to help sick people.|poor|High School
hs-3|How was the movie?|The movie was exciting _____ _____ _____ _____ _____ long.|["but","a","little","bit","short"]|The movie was exciting but a little bit long.|short|High School
hs-4|What should we do this weekend?|We should go hiking _____ _____ _____ _____ _____ nice.|["if","the","weather","is","rainy"]|We should go hiking if the weather is nice.|rainy|High School
hs-5|Did you finish your homework?|I finished my homework _____ _____ _____ _____ _____ bed.|["before","I","went","to","sleep"]|I finished my homework before I went to bed.|sleep|High School
hs-6|What is your opinion on uniforms?|I think school uniforms _____ _____ _____ _____ _____ studying.|["help","students","focus","on","learning"]|I think school uniforms help students focus on studying.|learning|High School
hs-7|Why is exercise important?|Regular exercise keeps your _____ _____ _____ _____ strong.|["body","healthy","and","fit"]|Regular exercise keeps your body healthy and strong.|fit|High School
hs-8|What did the teacher say?|The teacher said that _____ _____ _____ _____ _____ report.|["we","must","submit","the","paper"]|The teacher said that we must submit the report.|paper|High School
hs-9|How can we save energy?|We can save energy _____ _____ _____ _____ _____ lights.|["by","turning","off","the","on"]|We can save energy by turning off the lights.|on|High School
hs-10|What is the problem with plastic?|Plastic waste is harmful _____ _____ _____ _____ _____ animals.|["to","the","environment","and","ocean"]|Plastic waste is harmful to the environment and animals.|ocean|High School
